Date;eco2
2020-12-22T01:12:58Z;400.5
2020-12-22T00:00:25Z;409.9166667
2020-12-21T23:14:47Z;427
2020-12-21T22:00:01Z;1002.871795
2020-12-21T21:24:09Z;903.375
2020-12-21T20:00:14Z;1318.380952
2020-12-21T19:31:10Z;1592.3125
2020-12-21T18:13:47Z;1608.166667
2020-12-21T17:31:08Z;849.1
2020-12-21T16:04:42Z;966.25
2020-12-21T15:14:03Z;1431.88
2020-12-21T14:08:05Z;793
2020-12-21T13:13:46Z;1249.636364
2020-12-21T12:00:00Z;1162.777778
2020-12-21T11:20:27Z;1261.428571
2020-12-18T16:05:26Z;1123
2020-12-18T15:07:42Z;954
2020-12-18T14:25:16Z;1349.181818
2020-12-18T13:00:31Z;1523.4375
2020-12-18T12:28:40Z;1263
2020-12-18T07:25:27Z;1259.333333
2020-12-18T06:06:19Z;930.3333333
2020-12-18T05:00:43Z;1407.870968
2020-12-18T04:06:04Z;1360.324324
2020-12-18T03:00:23Z;1425.027027
2020-12-18T02:04:57Z;1230.083333
2020-12-18T01:00:12Z;1464.957447
2020-12-18T00:00:56Z;1498.415094
2020-12-17T23:00:55Z;1463.22449
2020-12-17T22:02:50Z;1466.913793
2020-12-17T21:00:52Z;1459.166667
2020-12-17T20:00:20Z;1385.382353
2020-12-17T19:00:21Z;1391.122449
2020-12-17T18:05:07Z;1442.488372
2020-12-17T17:00:18Z;1454.263158
2020-12-17T16:00:38Z;1427.093023
2020-12-17T15:13:24Z;1493.521739
2020-12-17T14:00:47Z;1467.404762
2020-12-17T13:04:27Z;1431.733333
2020-12-17T12:08:15Z;1201.888889
2020-12-17T11:25:08Z;1527.333333
2020-12-17T10:04:27Z;1227.538462
2020-12-17T09:01:50Z;1271.5
2020-12-17T08:00:52Z;1363.21875
2020-12-17T07:10:18Z;1320.761905
2020-12-17T06:00:37Z;1352.740741
2020-12-17T05:01:24Z;1162.269231
2020-12-17T04:06:09Z;1479.394737
2020-12-17T03:00:58Z;1498.245283
2020-12-17T02:00:11Z;1515.375
2020-12-17T01:00:55Z;1487.578947
2020-12-17T00:00:49Z;1535.90566
2020-12-16T23:04:42Z;1488.439024
2020-12-16T22:06:03Z;1518.058824
2020-12-16T21:04:32Z;1572.363636
2020-12-16T20:03:00Z;1624.938776
2020-12-16T19:00:53Z;1455.357143
2020-12-16T18:00:42Z;1530.326531
2020-12-16T17:04:39Z;1455.09375
2020-12-16T16:10:33Z;1552.705882
2020-12-16T15:07:48Z;1657.681818
2020-12-16T14:23:48Z;1597.033333
2020-12-16T13:00:17Z;1629.090909
2020-12-16T12:00:26Z;1632.509804
2020-12-16T11:08:49Z;1058.714286
2020-12-16T10:01:05Z;1339.722222
2020-12-16T09:01:10Z;1197.333333
2020-12-16T08:09:56Z;1249.25
2020-12-16T07:44:39Z;949
2020-12-16T04:42:04Z;1121
2020-12-16T03:18:09Z;934.25
2020-12-16T02:13:41Z;931
2020-12-16T01:05:50Z;1174.411765
2020-12-16T00:00:36Z;1518.888889
2020-12-15T23:00:17Z;1497.435897
2020-12-15T22:02:24Z;1470.466667
2020-12-15T21:29:16Z;1085.4
2020-12-15T20:00:54Z;1496.222222
2020-12-15T19:03:38Z;1314.076923
2020-12-15T18:00:21Z;1391
2020-12-15T17:00:57Z;1554.807692
2020-12-15T16:34:28Z;1422.3125
2020-12-15T15:05:38Z;1405.64
2020-12-15T14:05:16Z;1502.038462
2020-12-15T13:00:11Z;1480.692308
2020-12-15T12:00:13Z;1304.941176
2020-12-15T11:54:13Z;1366.666667
2020-12-14T17:57:10Z;978
2020-12-14T16:02:49Z;712.6666667
2020-12-14T15:45:16Z;403
2020-12-14T14:00:26Z;1348.4
2020-12-14T13:00:19Z;1166.666667
2020-12-14T12:05:30Z;1267.5
2020-12-14T11:09:36Z;1455.3
2020-12-14T10:11:19Z;1330.8
2020-12-14T09:08:34Z;1092.875
2020-12-14T08:20:24Z;1349.882353
2020-12-14T07:00:17Z;1374
2020-12-14T06:06:25Z;1322.192308
2020-12-14T05:01:10Z;1283.305556
2020-12-14T04:00:42Z;1294
2020-12-14T03:00:56Z;1311.15
2020-12-14T02:00:51Z;1418.357143
2020-12-14T01:03:15Z;1469.098039
2020-12-14T00:00:39Z;1388.612903
2020-12-13T23:00:23Z;1385.139535
2020-12-13T22:10:18Z;1398.205128
2020-12-13T21:00:52Z;1406.645833
2020-12-13T20:00:35Z;1279.74359
2020-12-13T19:00:55Z;1435.87037
2020-12-13T18:05:45Z;1448.431818
2020-12-13T17:00:04Z;1521.26087
2020-12-13T16:00:51Z;1557.25
2020-12-13T15:00:35Z;1654.421053
2020-12-13T14:00:55Z;1495.139535
2020-12-13T13:00:47Z;1452.212121
2020-12-13T12:19:44Z;1498.117647
2020-12-13T11:04:51Z;971.5
2020-12-13T09:18:41Z;400
2020-12-13T02:05:01Z;402
2020-12-13T00:17:24Z;400
2020-12-12T23:05:39Z;1405.555556
2020-12-12T22:11:29Z;1155.428571
2020-12-12T21:06:59Z;1140.666667
2020-12-12T20:00:04Z;1361.96
2020-12-12T19:21:52Z;1313.636364
2020-12-12T18:05:41Z;1227.9
2020-12-12T17:31:48Z;402
2020-12-12T16:15:00Z;1398.714286
2020-12-12T15:13:36Z;1311.1
2020-12-12T14:38:15Z;400
2020-12-12T13:10:55Z;1004.375
2020-12-09T13:58:18Z;1082.5
2020-12-08T16:00:16Z;1310.555556
2020-12-08T15:01:59Z;1280.380952
2020-12-08T14:12:08Z;1147.444444
2020-12-08T13:00:57Z;1433.086957
2020-12-08T12:02:30Z;1519.322581
2020-12-08T11:09:20Z;1183
2020-12-08T10:02:49Z;1437.466667
2020-12-08T09:00:48Z;1409.944444
2020-12-08T08:00:36Z;1701.882353
2020-12-08T07:00:18Z;1660.372549
2020-12-08T06:00:17Z;1536.883721
2020-12-08T05:02:49Z;1331.26087
2020-12-08T04:02:17Z;1317.25
2020-12-08T03:00:28Z;1513.732143
2020-12-08T02:00:25Z;1441.959184
2020-12-08T01:00:40Z;1510.611111
2020-12-08T00:00:59Z;1460.44186
2020-12-07T23:00:55Z;1511.116667
2020-12-07T22:00:53Z;1444.867925
2020-12-07T21:00:30Z;1350.847826
2020-12-07T20:00:23Z;1281.351351
2020-12-07T19:00:38Z;1356
2020-12-07T18:01:12Z;1384.131579
2020-12-07T17:00:55Z;1569.652174
2020-12-07T16:00:00Z;1581.222222
2020-12-07T15:00:22Z;1757.561404
2020-12-07T14:00:46Z;1599.068966
2020-12-07T13:06:11Z;1519.55102
2020-12-07T12:00:59Z;1623.020833
2020-12-07T11:19:16Z;1624.305556
2020-12-07T10:14:13Z;1282.2
2020-12-07T08:50:55Z;914.5
2020-12-07T06:00:19Z;1299
2020-12-07T05:59:19Z;400
2020-12-07T02:29:28Z;412.6666667
2020-12-06T23:05:52Z;423
2020-12-06T21:07:12Z;417.3333333
2020-12-06T20:00:49Z;780.25
2020-12-06T19:59:49Z;400
2020-12-06T18:01:44Z;990.8
2020-12-06T17:05:01Z;735
2020-12-06T16:03:45Z;1136.857143
2020-12-06T15:00:15Z;1332.142857
2020-12-06T14:25:41Z;1013.4
2020-12-06T13:05:43Z;1175.7
2020-12-06T11:42:33Z;1128.666667
2020-12-06T10:36:32Z;401.6666667
2020-12-06T09:31:45Z;950
2020-12-06T08:12:50Z;740
2020-12-06T07:13:54Z;774.6
2020-12-06T06:15:30Z;884.75
2020-12-06T05:29:36Z;883.5
2020-12-06T03:00:19Z;1481
2020-12-06T02:16:24Z;402.3333333
2020-12-06T01:54:16Z;912.5
2020-12-06T00:24:31Z;1691.333333
2020-12-05T23:12:12Z;400
2020-12-05T22:03:05Z;613.6666667
2020-12-05T21:36:07Z;875.3333333
2020-12-05T20:17:19Z;980.1333333
2020-12-05T17:00:52Z;836.4285714
2020-12-05T16:10:01Z;807.7
2020-12-05T15:37:18Z;1253.692308
2020-12-05T14:04:03Z;1034.384615
2020-12-05T13:00:57Z;1366.521739
2020-12-05T12:51:30Z;1074.75
