ID;KL1;KL2;KL3;KL3a;DB1;DB2;DB3*;DB4;DB5;DB6;DB7*;DB8;KS1;KS2;KS3;DV1;DV2;Zsmarbeit;Interesse;Position
1;4;1;1;1;4;4;5;4;5;3;4;5;3;4;5;4;3;5;4;2
2;5;1;1;1;5;5;5;5;5;5;5;5;3;5;5;5;5;5;4;2
3;5;1;1;2;4;5;5;2;5;5;4;5;4;4;4;4;5;4;4;2
4;5;1;1;1;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;1
5;4;1;1;1;3;3;4;3;4;3;4;5;2;3;2;2;2;4;4;1
6;4;2;1;1;5;5;5;4;5;3;3;5;5;5;3;4;3;4;5;2
7;5;1;1;1;4;3;5;4;4;5;5;5;2;5;5;5;4;4;4;2
8;5;1;1;1;3;3;4;3;4;3;4;4;3;4;4;4;3;5;4;2
9;4;1;1;2;4;4;4;4;4;3;3;5;3;4;5;4;4;5;4;1
10;4;2;2;NA;3;5;3;3;4;3;4;3;3;4;4;4;1;4;4;2
11;5;2;1;2;4;4;4;3;4;4;4;4;4;4;4;4;2;4;4;2
12;3;2;1;1;5;5;3;3;5;5;4;5;5;5;5;5;3;5;4;2
13;5;2;1;1;5;5;4;4;4;3;3;4;4;4;2;2;3;5;4;2
14;5;1;1;1;3;5;4;3;5;4;4;5;3;4;5;4;3;4;5;1
15;4;2;1;1;5;5;4;3;5;4;4;5;4;5;4;4;4;5;5;2
16;5;2;1;1;4;5;4;3;4;4;4;5;5;5;1;1;2;5;5;2
17;5;2;1;2;4;5;3;3;5;3;5;5;3;4;3;4;4;5;5;1
18;5;1;1;2;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;2
19;5;2;1;2;4;4;4;3;4;2;4;5;5;4;4;4;2;5;3;1
20;5;1;2;NA;3;4;4;2;5;4;2;4;4;5;4;4;2;5;5;2
21;4;2;1;1;4;5;4;3;5;2;2;5;4;5;4;4;3;5;5;2
22;4;1;1;2;4;4;3;3;4;2;3;4;3;4;4;5;2;5;5;2
23;5;1;1;1;5;4;5;5;4;5;5;5;3;4;5;4;2;5;5;2
24;3;2;2;NA;4;4;4;3;4;2;4;4;4;4;4;5;3;5;4;2
25;3;2;2;NA;3;3;2;2;3;2;3;2;2;2;3;2;2;4;4;2
26;5;1;1;1;4;5;3;2;4;5;4;5;4;5;4;4;3;5;5;2
27;5;2;1;2;4;4;4;NA;5;3;4;5;4;4;4;4;3;5;5;2
28;4;1;1;1;3;4;1;1;5;3;4;4;5;5;5;4;5;5;5;1
29;5;1;1;1;4;4;4;3;4;3;4;3;3;4;4;3;2;3;4;2
30;5;1;1;1;3;4;5;4;5;2;4;5;3;4;4;4;4;4;4;1
31;5;2;1;1;5;4;4;3;NA;4;4;5;4;4;4;4;4;5;5;1
32;4;2;3;NA;4;4;4;3;4;3;4;4;3;4;4;3;2;5;4;2
33;5;2;1;2;4;4;3;2;5;3;4;4;3;4;3;4;3;5;4;1
34;4;1;1;1;5;5;5;4;5;4;5;5;4;4;5;5;4;5;5;1
35;3;2;3;NA;3;5;3;4;5;3;3;3;3;4;3;3;2;5;4;2
36;4;1;1;2;4;4;4;4;4;3;5;5;3;5;4;4;3;5;5;2
37;1;2;1;2;4;4;4;NA;3;4;NA;4;4;4;NA;NA;4;5;4;2
38;5;2;3;NA;4;4;4;4;5;3;3;3;3;4;3;4;4;5;4;2
39;5;1;1;1;5;5;4;4;5;3;4;5;4;5;4;5;4;5;5;2
40;4;2;1;2;3;4;1;3;5;4;5;5;2;4;3;4;5;5;5;2
41;5;1;1;1;3;3;4;3;5;3;4;5;4;4;3;3;2;5;4;1
42;5;1;1;1;5;5;3;5;5;3;5;5;3;3;5;5;4;5;5;1
43;4;2;1;2;4;4;2;2;4;2;3;4;4;5;4;4;3;5;4;1
44;5;1;1;2;5;5;5;4;5;5;5;5;5;5;5;5;3;5;4;2
45;5;1;1;1;5;4;3;4;5;3;4;5;2;5;4;3;3;5;5;2
46;5;1;1;2;5;5;4;5;5;5;4;5;3;5;5;5;2;5;5;2
47;5;2;2;2;3;3;3;1;5;4;3;5;4;4;4;4;5;5;5;2
;;;;;;;;;;;;;;;;;;;;
* Diese beiden Items wuden umgepolt nach der Rechenvorschrift: 5 --> 1, 4 --> 2, 3 --> 3, 2 --> 4, 1 --> 5;;;;;;;;;;;;;;;;;;;;